Loading original data: /Users/kyle/BP/solver/DCFR-SOLVER/output/push_fold/4p_8bb_1b.json
Loading existing fixed data: /Users/kyle/BP/solver/DCFR-SOLVER/output/push_fold/4p_8bb_1b_fixed.json

JSON structure (original):
  CO: ['no action']
  BTN: ['no action', 'CO push']
  SB: ['no action', 'CO push', 'BTN push', 'CO+BTN push']
  BB: ['CO push', 'BTN push', 'CO+BTN push', 'SB push', 'CO+SB push', 'BTN+SB push', 'CO+BTN+SB push']

Trials per hand: 50,000
Seed: 42

=== Situation 4: BB vs CO+BTN+SB push (copy from existing fixed file) ===
push_pct: 12.1% -> 9.7% (already fixed, preserving)

=== Fixing: BB vs CO+BTN push (SB folded) ===
Breakeven: 28.571%  (14 / 49)
Trials per hand: 50,000
CO 'no action' combos: 514, mean push: 0.334
BTN 'CO push' combos: 412, mean push: 0.154

Hand     |  Solver% |  Equity% |  EV(chips) | Corrected% | Change
54s      |     0.54 |    27.33 |      -0.88 |       0.00 | ok
62s      |     0.00 |    23.47 |      -2.73 |       0.00 | ok
63s      |     0.57 |    25.06 |      -1.97 |       0.00 | ok
64s      |     0.63 |    26.89 |      -1.09 |       0.00 | ok
65s      |     0.91 |    27.87 |      -0.62 |       0.00 | ok
72s      |     0.02 |    22.92 |      -3.00 |       0.00 | ok
73s      |     0.26 |    24.28 |      -2.34 |       0.00 | ok
74s      |     0.18 |    25.96 |      -1.54 |       0.00 | ok
75s      |     0.24 |    27.18 |      -0.95 |       0.00 | ok
76s      |     0.77 |    28.54 |      -0.30 |       0.00 | ok
82s      |     0.08 |    22.99 |      -2.96 |       0.00 | ok
83s      |     0.00 |    23.35 |      -2.79 |       0.00 | ok
84s      |     0.01 |    25.08 |      -1.96 |       0.00 | ok
85s      |     1.20 |    26.32 |      -1.37 |       0.00 | FIXED
86s      |     2.48 |    28.33 |      -0.40 |       0.00 | FIXED
87s      |     1.46 |    29.36 |      +0.09 |      68.93 | FIXED
92s      |     0.03 |    23.27 |      -2.83 |       0.00 | ok
93s      |     0.00 |    23.68 |      -2.63 |       0.00 | ok
94s      |     0.08 |    24.16 |      -2.40 |       0.00 | ok
95s      |     0.00 |    25.79 |      -1.62 |       0.00 | ok
96s      |     0.12 |    27.24 |      -0.92 |       0.00 | ok
97s      |     1.54 |    28.47 |      -0.33 |       0.00 | FIXED
98s      |    93.27 |    29.25 |      +0.04 |      58.60 | FIXED
T2s      |     0.00 |    23.38 |      -2.78 |       0.00 | ok
T3s      |     0.00 |    23.98 |      -2.49 |       0.00 | ok
T4s      |     0.00 |    24.24 |      -2.37 |       0.00 | ok
T5s      |     0.21 |    24.41 |      -2.28 |       0.00 | ok
T6s      |     0.64 |    26.18 |      -1.43 |       0.00 | ok
T7s      |     0.03 |    27.66 |      -0.72 |       0.00 | ok
T8s      |     2.22 |    28.99 |      -0.08 |      32.33 | FIXED
T9s      |    99.32 |    30.15 |      +0.47 |     100.00 | ok
J2s      |     0.19 |    23.74 |      -2.60 |       0.00 | ok
J3s      |     0.19 |    24.63 |      -2.18 |       0.00 | ok
J4s      |     0.00 |    25.30 |      -1.85 |       0.00 | ok
J5s      |     0.27 |    25.88 |      -1.58 |       0.00 | ok
J6s      |     0.11 |    26.08 |      -1.48 |       0.00 | ok
J7s      |     0.59 |    27.30 |      -0.90 |       0.00 | ok
J8s      |     0.20 |    28.78 |      -0.19 |      10.87 | FIXED
J9s      |    98.91 |    29.65 |      +0.23 |      97.87 | FIXED
JTs      |    99.72 |    31.22 |      +0.98 |     100.00 | ok
Q2s      |     0.00 |    25.12 |      -1.94 |       0.00 | ok
Q3s      |     0.01 |    25.42 |      -1.80 |       0.00 | ok
Q4s      |     0.02 |    26.41 |      -1.32 |       0.00 | ok
Q5s      |     0.14 |    26.57 |      -1.24 |       0.00 | ok
Q6s      |     0.19 |    27.45 |      -0.82 |       0.00 | ok
Q7s      |     0.66 |    27.05 |      -1.02 |       0.00 | ok
Q8s      |     2.70 |    28.61 |      -0.27 |       0.00 | FIXED
Q9s      |    94.24 |    29.99 |      +0.40 |     100.00 | FIXED
QTs      |    99.99 |    31.55 |      +1.14 |     100.00 | ok
QJs      |   100.00 |    32.93 |      +1.80 |     100.00 | ok
K2s      |     0.13 |    24.76 |      -2.12 |       0.00 | ok
K3s      |     0.01 |    25.48 |      -1.77 |       0.00 | ok
K4s      |     0.45 |    26.18 |      -1.43 |       0.00 | ok
K5s      |     0.18 |    26.48 |      -1.29 |       0.00 | ok
K6s      |     2.11 |    26.80 |      -1.14 |       0.00 | FIXED
K7s      |     0.20 |    27.47 |      -0.81 |       0.00 | ok
K8s      |     0.65 |    27.95 |      -0.58 |       0.00 | ok
K9s      |    13.82 |    29.45 |      +0.14 |      78.33 | FIXED
KTs      |   100.00 |    31.94 |      +1.33 |     100.00 | ok
KJs      |   100.00 |    33.33 |      +2.00 |     100.00 | ok
KQs      |   100.00 |    35.22 |      +2.91 |     100.00 | ok
A2s      |     0.06 |    26.48 |      -1.29 |       0.00 | ok
A3s      |     0.84 |    26.60 |      -1.23 |       0.00 | ok
A4s      |     3.10 |    27.48 |      -0.81 |       0.00 | FIXED
A5s      |    23.08 |    28.42 |      -0.36 |       0.00 | FIXED
A6s      |     0.07 |    28.24 |      -0.44 |       0.00 | ok
A7s      |    25.80 |    28.99 |      -0.09 |      32.20 | FIXED
A8s      |    99.98 |    31.11 |      +0.93 |     100.00 | ok
A9s      |   100.00 |    32.90 |      +1.79 |     100.00 | ok
ATs      |    99.99 |    36.21 |      +3.38 |     100.00 | ok
AJs      |    99.99 |    39.13 |      +4.78 |     100.00 | ok
AQs      |    99.98 |    41.62 |      +5.98 |     100.00 | ok
AKs      |    99.99 |    45.24 |      +7.72 |     100.00 | ok
32o      |     0.02 |    19.32 |      -4.73 |       0.00 | ok
42o      |     0.12 |    20.00 |      -4.40 |       0.00 | ok
43o      |     0.00 |    21.71 |      -3.58 |       0.00 | ok
52o      |     0.00 |    20.45 |      -4.19 |       0.00 | ok
53o      |     0.00 |    22.38 |      -3.26 |       0.00 | ok
54o      |     0.04 |    23.96 |      -2.50 |       0.00 | ok
62o      |     0.05 |    20.07 |      -4.37 |       0.00 | ok
63o      |     0.02 |    21.45 |      -3.70 |       0.00 | ok
64o      |     0.01 |    23.41 |      -2.76 |       0.00 | ok
65o      |     0.03 |    24.74 |      -2.12 |       0.00 | ok
72o      |     0.01 |    18.76 |      -5.00 |       0.00 | ok
73o      |     0.00 |    20.25 |      -4.28 |       0.00 | ok
74o      |     0.01 |    21.96 |      -3.46 |       0.00 | ok
75o      |     0.05 |    23.67 |      -2.64 |       0.00 | ok
76o      |     0.01 |    24.89 |      -2.05 |       0.00 | ok
82o      |     0.00 |    19.20 |      -4.78 |       0.00 | ok
83o      |     0.00 |    19.79 |      -4.50 |       0.00 | ok
84o      |     0.01 |    21.42 |      -3.72 |       0.00 | ok
85o      |     0.01 |    22.82 |      -3.05 |       0.00 | ok
86o      |     0.00 |    24.27 |      -2.35 |       0.00 | ok
87o      |     0.11 |    25.64 |      -1.69 |       0.00 | ok
92o      |     0.00 |    19.60 |      -4.59 |       0.00 | ok
93o      |     0.00 |    20.06 |      -4.37 |       0.00 | ok
94o      |     0.03 |    19.94 |      -4.43 |       0.00 | ok
95o      |     0.00 |    21.84 |      -3.52 |       0.00 | ok
96o      |     0.00 |    23.49 |      -2.73 |       0.00 | ok
97o      |     0.00 |    24.69 |      -2.15 |       0.00 | ok
98o      |     0.30 |    26.00 |      -1.52 |       0.00 | ok
T2o      |     0.01 |    19.38 |      -4.70 |       0.00 | ok
T3o      |     0.01 |    20.08 |      -4.36 |       0.00 | ok
T4o      |     0.00 |    20.70 |      -4.06 |       0.00 | ok
T5o      |     0.02 |    20.74 |      -4.05 |       0.00 | ok
T6o      |     0.00 |    22.45 |      -3.22 |       0.00 | ok
T7o      |     0.05 |    23.94 |      -2.51 |       0.00 | ok
T8o      |     0.00 |    25.60 |      -1.71 |       0.00 | ok
T9o      |     0.15 |    26.73 |      -1.17 |       0.00 | ok
J2o      |     0.00 |    20.57 |      -4.13 |       0.00 | ok
J3o      |     0.01 |    20.30 |      -4.26 |       0.00 | ok
J4o      |     0.01 |    21.43 |      -3.71 |       0.00 | ok
J5o      |     0.00 |    22.00 |      -3.44 |       0.00 | ok
J6o      |     0.01 |    22.02 |      -3.43 |       0.00 | ok
J7o      |     0.04 |    23.69 |      -2.63 |       0.00 | ok
J8o      |     0.01 |    25.17 |      -1.92 |       0.00 | ok
J9o      |     0.04 |    26.46 |      -1.30 |       0.00 | ok
JTo      |     1.10 |    28.36 |      -0.39 |       0.00 | FIXED
Q2o      |     0.01 |    21.21 |      -3.82 |       0.00 | ok
Q3o      |     0.00 |    21.67 |      -3.60 |       0.00 | ok
Q4o      |     0.01 |    22.52 |      -3.19 |       0.00 | ok
Q5o      |     0.00 |    23.03 |      -2.95 |       0.00 | ok
Q6o      |     0.03 |    23.38 |      -2.78 |       0.00 | ok
Q7o      |     0.02 |    23.67 |      -2.64 |       0.00 | ok
Q8o      |     0.00 |    24.92 |      -2.04 |       0.00 | ok
Q9o      |     0.04 |    26.49 |      -1.28 |       0.00 | ok
QTo      |     0.62 |    28.06 |      -0.53 |       0.00 | ok
QJo      |     8.42 |    29.34 |      +0.08 |      67.57 | FIXED
K2o      |     0.00 |    20.70 |      -4.06 |       0.00 | ok
K3o      |     0.01 |    21.41 |      -3.72 |       0.00 | ok
K4o      |     0.05 |    22.50 |      -3.20 |       0.00 | ok
K5o      |     0.02 |    23.14 |      -2.89 |       0.00 | ok
K6o      |     0.05 |    23.46 |      -2.74 |       0.00 | ok
K7o      |     0.15 |    23.92 |      -2.52 |       0.00 | ok
K8o      |     0.05 |    24.04 |      -2.46 |       0.00 | ok
K9o      |     0.34 |    25.50 |      -1.76 |       0.00 | ok
KTo      |     0.12 |    28.09 |      -0.52 |       0.00 | ok
KJo      |   100.00 |    29.97 |      +0.39 |     100.00 | ok
KQo      |   100.00 |    32.21 |      +1.46 |     100.00 | ok
A2o      |     0.01 |    22.23 |      -3.33 |       0.00 | ok
A3o      |     0.22 |    22.80 |      -3.06 |       0.00 | ok
A4o      |     0.19 |    23.56 |      -2.69 |       0.00 | ok
A5o      |     0.05 |    24.34 |      -2.32 |       0.00 | ok
A6o      |     0.24 |    24.44 |      -2.27 |       0.00 | ok
A7o      |     0.09 |    25.31 |      -1.85 |       0.00 | ok
A8o      |     0.79 |    27.19 |      -0.95 |       0.00 | ok
A9o      |   100.00 |    29.11 |      -0.03 |      44.27 | FIXED
ATo      |   100.00 |    32.85 |      +1.77 |     100.00 | ok
AJo      |   100.00 |    35.67 |      +3.12 |     100.00 | ok
AQo      |    99.98 |    38.70 |      +4.57 |     100.00 | ok
AKo      |   100.00 |    42.55 |      +6.43 |     100.00 | ok
------------------------------------------------------------------------
push_pct: 16.7% -> 17.2%  |  hands changed: 20/169

=== Fixing: SB vs CO+BTN push ===
EV(fold) = -1 chip
Trials per hand: 50,000
CO  'no action' combos: 514, mean push: 0.334
BTN 'CO push'   combos: 412, mean push: 0.154
BB call range (CO+BTN+SB push) mean call freq: 0.139

Hand     |  Solver% |   EV(push) |   EV(fold) | Corrected% | Change
----------------------------------------------------------------------------
22       |     0.32 |     -2.773 |     -1.000 |       0.00 | ok
33       |     0.01 |     -2.403 |     -1.000 |       0.00 | ok
44       |     0.11 |     -1.922 |     -1.000 |       0.00 | ok
55       |    66.87 |     -0.841 |     -1.000 |      65.88 | ok
66       |    99.97 |     +0.085 |     -1.000 |     100.00 | ok
77       |   100.00 |     +1.146 |     -1.000 |     100.00 | ok
88       |    99.96 |     +2.113 |     -1.000 |     100.00 | ok
99       |   100.00 |     +3.483 |     -1.000 |     100.00 | ok
TT       |   100.00 |     +5.663 |     -1.000 |     100.00 | ok
JJ       |   100.00 |     +7.997 |     -1.000 |     100.00 | ok
QQ       |   100.00 |    +10.816 |     -1.000 |     100.00 | ok
KK       |   100.00 |    +14.488 |     -1.000 |     100.00 | ok
AA       |   100.00 |    +20.644 |     -1.000 |     100.00 | ok
32s      |     0.11 |     -4.820 |     -1.000 |       0.00 | ok
42s      |     0.00 |     -4.596 |     -1.000 |       0.00 | ok
43s      |     0.01 |     -3.924 |     -1.000 |       0.00 | ok
52s      |     0.01 |     -4.333 |     -1.000 |       0.00 | ok
53s      |     0.16 |     -3.742 |     -1.000 |       0.00 | ok
54s      |     0.43 |     -2.880 |     -1.000 |       0.00 | ok
62s      |     0.01 |     -4.675 |     -1.000 |       0.00 | ok
63s      |     0.57 |     -3.835 |     -1.000 |       0.00 | ok
64s      |     0.54 |     -2.999 |     -1.000 |       0.00 | ok
65s      |     0.00 |     -2.238 |     -1.000 |       0.00 | ok
72s      |     0.03 |     -5.208 |     -1.000 |       0.00 | ok
73s      |     0.01 |     -4.404 |     -1.000 |       0.00 | ok
74s      |     0.05 |     -3.740 |     -1.000 |       0.00 | ok
75s      |     0.15 |     -2.901 |     -1.000 |       0.00 | ok
76s      |     5.49 |     -2.047 |     -1.000 |       0.00 | FIXED
82s      |     0.04 |     -4.682 |     -1.000 |       0.00 | ok
83s      |     0.39 |     -4.945 |     -1.000 |       0.00 | ok
84s      |     0.17 |     -4.256 |     -1.000 |       0.00 | ok
85s      |     0.05 |     -3.266 |     -1.000 |       0.00 | ok
86s      |     0.00 |     -2.335 |     -1.000 |       0.00 | ok
87s      |     1.07 |     -1.830 |     -1.000 |       0.00 | FIXED
92s      |     0.01 |     -5.012 |     -1.000 |       0.00 | ok
93s      |     0.00 |     -4.808 |     -1.000 |       0.00 | ok
94s      |     0.24 |     -4.612 |     -1.000 |       0.00 | ok
95s      |     0.06 |     -3.893 |     -1.000 |       0.00 | ok
96s      |     0.56 |     -3.108 |     -1.000 |       0.00 | ok
97s      |     0.06 |     -2.457 |     -1.000 |       0.00 | ok
98s      |     2.04 |     -1.992 |     -1.000 |       0.00 | FIXED
T2s      |     0.02 |     -4.764 |     -1.000 |       0.00 | ok
T3s      |     0.53 |     -4.780 |     -1.000 |       0.00 | ok
T4s      |     0.30 |     -4.239 |     -1.000 |       0.00 | ok
T5s      |     0.20 |     -4.282 |     -1.000 |       0.00 | ok
T6s      |     0.09 |     -3.148 |     -1.000 |       0.00 | ok
T7s      |     0.80 |     -2.724 |     -1.000 |       0.00 | ok
T8s      |     1.27 |     -2.015 |     -1.000 |       0.00 | FIXED
T9s      |    12.42 |     -1.622 |     -1.000 |       0.00 | FIXED
J2s      |     0.01 |     -4.580 |     -1.000 |       0.00 | ok
J3s      |     0.15 |     -4.201 |     -1.000 |       0.00 | ok
J4s      |     0.00 |     -4.066 |     -1.000 |       0.00 | ok
J5s      |     0.02 |     -3.917 |     -1.000 |       0.00 | ok
J6s      |     0.28 |     -3.584 |     -1.000 |       0.00 | ok
J7s      |     0.03 |     -3.002 |     -1.000 |       0.00 | ok
J8s      |     0.00 |     -2.251 |     -1.000 |       0.00 | ok
J9s      |     5.49 |     -1.781 |     -1.000 |       0.00 | FIXED
JTs      |    49.39 |     -0.943 |     -1.000 |      55.74 | FIXED
Q2s      |     0.03 |     -4.221 |     -1.000 |       0.00 | ok
Q3s      |     0.00 |     -4.106 |     -1.000 |       0.00 | ok
Q4s      |     0.02 |     -3.705 |     -1.000 |       0.00 | ok
Q5s      |     0.44 |     -3.551 |     -1.000 |       0.00 | ok
Q6s      |     0.57 |     -3.334 |     -1.000 |       0.00 | ok
Q7s      |     0.97 |     -3.265 |     -1.000 |       0.00 | ok
Q8s      |     0.05 |     -2.502 |     -1.000 |       0.00 | ok
Q9s      |     2.00 |     -2.171 |     -1.000 |       0.00 | FIXED
QTs      |    43.47 |     -1.087 |     -1.000 |      41.27 | FIXED
QJs      |   100.00 |     -0.690 |     -1.000 |      80.99 | FIXED
K2s      |     0.06 |     -3.671 |     -1.000 |       0.00 | ok
K3s      |     0.18 |     -3.707 |     -1.000 |       0.00 | ok
K4s      |     0.22 |     -3.593 |     -1.000 |       0.00 | ok
K5s      |     0.01 |     -3.055 |     -1.000 |       0.00 | ok
K6s      |     0.00 |     -2.806 |     -1.000 |       0.00 | ok
K7s      |     0.45 |     -2.777 |     -1.000 |       0.00 | ok
K8s      |     0.08 |     -2.650 |     -1.000 |       0.00 | ok
K9s      |     2.94 |     -2.299 |     -1.000 |       0.00 | FIXED
KTs      |    41.46 |     -0.962 |     -1.000 |      53.75 | FIXED
KJs      |    99.93 |     -0.588 |     -1.000 |      91.24 | FIXED
KQs      |    98.88 |     +0.304 |     -1.000 |     100.00 | FIXED
A2s      |     0.01 |     -4.148 |     -1.000 |       0.00 | ok
A3s      |     0.13 |     -4.037 |     -1.000 |       0.00 | ok
A4s      |     0.92 |     -3.449 |     -1.000 |       0.00 | ok
A5s      |     0.35 |     -3.256 |     -1.000 |       0.00 | ok
A6s      |     0.01 |     -3.826 |     -1.000 |       0.00 | ok
A7s      |     2.92 |     -3.077 |     -1.000 |       0.00 | FIXED
A8s      |     1.07 |     -2.842 |     -1.000 |       0.00 | FIXED
A9s      |     0.21 |     -1.941 |     -1.000 |       0.00 | ok
ATs      |    97.55 |     -0.421 |     -1.000 |     100.00 | FIXED
AJs      |   100.00 |     +1.344 |     -1.000 |     100.00 | ok
AQs      |    99.84 |     +3.413 |     -1.000 |     100.00 | ok
AKs      |    99.99 |     +4.991 |     -1.000 |     100.00 | ok
32o      |     0.00 |     -6.749 |     -1.000 |       0.00 | ok
42o      |     0.00 |     -6.365 |     -1.000 |       0.00 | ok
43o      |     0.00 |     -5.729 |     -1.000 |       0.00 | ok
52o      |     0.00 |     -6.319 |     -1.000 |       0.00 | ok
53o      |     0.04 |     -5.471 |     -1.000 |       0.00 | ok
54o      |     0.02 |     -4.551 |     -1.000 |       0.00 | ok
62o      |     0.00 |     -6.474 |     -1.000 |       0.00 | ok
63o      |     0.00 |     -5.854 |     -1.000 |       0.00 | ok
64o      |     0.00 |     -4.821 |     -1.000 |       0.00 | ok
65o      |     0.01 |     -4.070 |     -1.000 |       0.00 | ok
72o      |     0.00 |     -7.127 |     -1.000 |       0.00 | ok
73o      |     0.01 |     -6.404 |     -1.000 |       0.00 | ok
74o      |     0.00 |     -5.627 |     -1.000 |       0.00 | ok
75o      |     0.00 |     -4.659 |     -1.000 |       0.00 | ok
76o      |     0.04 |     -3.929 |     -1.000 |       0.00 | ok
82o      |     0.00 |     -6.988 |     -1.000 |       0.00 | ok
83o      |     0.00 |     -6.873 |     -1.000 |       0.00 | ok
84o      |     0.00 |     -6.059 |     -1.000 |       0.00 | ok
85o      |     0.01 |     -5.030 |     -1.000 |       0.00 | ok
86o      |     0.00 |     -4.236 |     -1.000 |       0.00 | ok
87o      |     0.09 |     -3.797 |     -1.000 |       0.00 | ok
92o      |     0.03 |     -6.952 |     -1.000 |       0.00 | ok
93o      |     0.01 |     -6.730 |     -1.000 |       0.00 | ok
94o      |     0.00 |     -6.757 |     -1.000 |       0.00 | ok
95o      |     0.00 |     -5.639 |     -1.000 |       0.00 | ok
96o      |     0.01 |     -4.926 |     -1.000 |       0.00 | ok
97o      |     0.03 |     -4.204 |     -1.000 |       0.00 | ok
98o      |     0.00 |     -3.671 |     -1.000 |       0.00 | ok
T2o      |     0.02 |     -6.705 |     -1.000 |       0.00 | ok
T3o      |     0.00 |     -6.672 |     -1.000 |       0.00 | ok
T4o      |     0.00 |     -6.235 |     -1.000 |       0.00 | ok
T5o      |     0.00 |     -6.132 |     -1.000 |       0.00 | ok
T6o      |     0.01 |     -5.141 |     -1.000 |       0.00 | ok
T7o      |     0.07 |     -4.427 |     -1.000 |       0.00 | ok
T8o      |     0.00 |     -4.054 |     -1.000 |       0.00 | ok
T9o      |     0.14 |     -3.429 |     -1.000 |       0.00 | ok
J2o      |     0.04 |     -6.464 |     -1.000 |       0.00 | ok
J3o      |     0.00 |     -6.324 |     -1.000 |       0.00 | ok
J4o      |     0.00 |     -6.161 |     -1.000 |       0.00 | ok
J5o      |     0.03 |     -5.726 |     -1.000 |       0.00 | ok
J6o      |     0.01 |     -5.566 |     -1.000 |       0.00 | ok
J7o      |     0.00 |     -5.109 |     -1.000 |       0.00 | ok
J8o      |     0.04 |     -4.416 |     -1.000 |       0.00 | ok
J9o      |     0.01 |     -3.561 |     -1.000 |       0.00 | ok
JTo      |     0.34 |     -2.692 |     -1.000 |       0.00 | ok
Q2o      |     0.00 |     -6.116 |     -1.000 |       0.00 | ok
Q3o      |     0.00 |     -5.864 |     -1.000 |       0.00 | ok
Q4o      |     0.00 |     -5.866 |     -1.000 |       0.00 | ok
Q5o      |     0.00 |     -5.512 |     -1.000 |       0.00 | ok
Q6o      |     0.00 |     -5.092 |     -1.000 |       0.00 | ok
Q7o      |     0.07 |     -5.170 |     -1.000 |       0.00 | ok
Q8o      |     0.00 |     -4.373 |     -1.000 |       0.00 | ok
Q9o      |     0.20 |     -4.121 |     -1.000 |       0.00 | ok
QTo      |     0.00 |     -2.818 |     -1.000 |       0.00 | ok
QJo      |     0.60 |     -2.519 |     -1.000 |       0.00 | ok
K2o      |     0.00 |     -5.785 |     -1.000 |       0.00 | ok
K3o      |     0.00 |     -5.703 |     -1.000 |       0.00 | ok
K4o      |     0.00 |     -5.200 |     -1.000 |       0.00 | ok
K5o      |     0.04 |     -4.979 |     -1.000 |       0.00 | ok
K6o      |     0.13 |     -4.654 |     -1.000 |       0.00 | ok
K7o      |     0.03 |     -4.691 |     -1.000 |       0.00 | ok
K8o      |     0.09 |     -4.518 |     -1.000 |       0.00 | ok
K9o      |     0.12 |     -3.910 |     -1.000 |       0.00 | ok
KTo      |     0.11 |     -3.097 |     -1.000 |       0.00 | ok
KJo      |     2.39 |     -2.394 |     -1.000 |       0.00 | FIXED
KQo      |     0.55 |     -1.481 |     -1.000 |       1.86 | FIXED
A2o      |     0.02 |     -6.306 |     -1.000 |       0.00 | ok
A3o      |     0.02 |     -6.031 |     -1.000 |       0.00 | ok
A4o      |     0.20 |     -5.861 |     -1.000 |       0.00 | ok
A5o      |     0.06 |     -5.257 |     -1.000 |       0.00 | ok
A6o      |     0.04 |     -5.805 |     -1.000 |       0.00 | ok
A7o      |     0.09 |     -5.412 |     -1.000 |       0.00 | ok
A8o      |     0.15 |     -4.937 |     -1.000 |       0.00 | ok
A9o      |     0.85 |     -4.090 |     -1.000 |       0.00 | ok
ATo      |     1.34 |     -2.129 |     -1.000 |       0.00 | FIXED
AJo      |   100.00 |     -0.535 |     -1.000 |      96.55 | FIXED
AQo      |   100.00 |     +1.399 |     -1.000 |     100.00 | ok
AKo      |    99.99 |     +3.618 |     -1.000 |     100.00 | ok
----------------------------------------------------------------------------
push_pct: 9.8% -> 9.6%  |  hands changed: 21/169

============================================================
=== Summary ===
  Sit 1 (BB vs CO+BTN push):      25 hands changed  push_pct 12.0% -> 11.7%
  Sit 2 (BB vs CO+SB push):       23 hands changed  push_pct 13.8% -> 13.9%
  Sit 3 (BB vs BTN+SB push):      20 hands changed  push_pct 16.7% -> 17.2%
  Sit 4 (BB vs CO+BTN+SB push):  copied from existing fixed file  (9.7%)
  Sit 5 (SB vs CO+BTN push):      21 hands changed  push_pct 9.8% -> 9.6%
  Total hands changed: 89

Written: /Users/kyle/BP/solver/DCFR-SOLVER/output/push_fold/4p_8bb_1b_fixed.json
