Loading original data: /Users/kyle/BP/solver/DCFR-SOLVER/output/push_fold/4p_8bb_1b.json
Loading existing fixed data: /Users/kyle/BP/solver/DCFR-SOLVER/output/push_fold/4p_8bb_1b_fixed.json

JSON structure (original):
  CO: ['no action']
  BTN: ['no action', 'CO push']
  SB: ['no action', 'CO push', 'BTN push', 'CO+BTN push']
  BB: ['CO push', 'BTN push', 'CO+BTN push', 'SB push', 'CO+SB push', 'BTN+SB push', 'CO+BTN+SB push']

Trials per hand: 50,000
Seed: 42

=== Situation 4: BB vs CO+BTN+SB push (copy from existing fixed file) ===
push_pct: 12.1% -> 9.7% (already fixed, preserving)

=== Fixing: BB vs CO+BTN push (SB folded) ===
Breakeven: 28.571%  (14 / 49)
Trials per hand: 50,000
CO 'no action' combos: 514, mean push: 0.334
BTN 'CO push' combos: 412, mean push: 0.154

Hand     |  Solver% |  Equity% |  EV(chips) | Corrected% | Change
A5s      |     1.50 |    25.40 |      -1.55 |       0.00 | FIXED
A6s      |     0.46 |    24.95 |      -1.78 |       0.00 | ok
A7s      |     1.01 |    25.62 |      -1.45 |       0.00 | FIXED
A8s      |     7.19 |    26.98 |      -0.78 |       0.00 | FIXED
A9s      |     9.01 |    28.14 |      -0.21 |       6.82 | FIXED
ATs      |    99.87 |    31.98 |      +1.67 |     100.00 | ok
AJs      |    99.98 |    34.70 |      +3.00 |     100.00 | ok
AQs      |    99.99 |    38.66 |      +4.94 |     100.00 | ok
AKs      |    99.97 |    42.55 |      +6.85 |     100.00 | ok
32o      |     0.01 |    18.61 |      -4.88 |       0.00 | ok
42o      |     0.00 |    18.76 |      -4.81 |       0.00 | ok
43o      |     0.00 |    20.89 |      -3.76 |       0.00 | ok
52o      |     0.01 |    19.87 |      -4.27 |       0.00 | ok
53o      |     0.02 |    21.03 |      -3.70 |       0.00 | ok
54o      |     0.63 |    22.85 |      -2.80 |       0.00 | ok
62o      |     0.01 |    18.96 |      -4.71 |       0.00 | ok
63o      |     0.00 |    20.55 |      -3.93 |       0.00 | ok
64o      |     0.22 |    22.05 |      -3.20 |       0.00 | ok
65o      |     0.02 |    23.85 |      -2.31 |       0.00 | ok
72o      |     0.00 |    17.93 |      -5.21 |       0.00 | ok
73o      |     0.04 |    19.43 |      -4.48 |       0.00 | ok
74o      |     0.01 |    21.08 |      -3.67 |       0.00 | ok
75o      |     0.00 |    22.69 |      -2.88 |       0.00 | ok
76o      |     0.00 |    24.19 |      -2.15 |       0.00 | ok
82o      |     0.01 |    18.72 |      -4.83 |       0.00 | ok
83o      |     0.00 |    18.65 |      -4.86 |       0.00 | ok
84o      |     0.00 |    20.00 |      -4.20 |       0.00 | ok
85o      |     0.00 |    22.03 |      -3.20 |       0.00 | ok
86o      |     0.00 |    23.50 |      -2.49 |       0.00 | ok
87o      |     0.02 |    24.49 |      -2.00 |       0.00 | ok
92o      |     0.00 |    18.32 |      -5.02 |       0.00 | ok
93o      |     0.00 |    18.69 |      -4.84 |       0.00 | ok
94o      |     0.00 |    19.26 |      -4.56 |       0.00 | ok
95o      |     0.01 |    20.82 |      -3.80 |       0.00 | ok
96o      |     0.11 |    22.39 |      -3.03 |       0.00 | ok
97o      |     0.00 |    23.39 |      -2.54 |       0.00 | ok
98o      |     0.00 |    24.58 |      -1.95 |       0.00 | ok
T2o      |     0.02 |    18.81 |      -4.78 |       0.00 | ok
T3o      |     0.00 |    19.09 |      -4.64 |       0.00 | ok
T4o      |     0.01 |    19.40 |      -4.49 |       0.00 | ok
T5o      |     0.01 |    20.03 |      -4.18 |       0.00 | ok
T6o      |     0.00 |    21.71 |      -3.36 |       0.00 | ok
T7o      |     0.00 |    23.02 |      -2.72 |       0.00 | ok
T8o      |     0.00 |    24.43 |      -2.03 |       0.00 | ok
T9o      |     0.12 |    25.42 |      -1.55 |       0.00 | ok
J2o      |     0.00 |    19.16 |      -4.61 |       0.00 | ok
J3o      |     0.01 |    19.47 |      -4.46 |       0.00 | ok
J4o      |     0.00 |    19.94 |      -4.23 |       0.00 | ok
J5o      |     0.02 |    20.75 |      -3.83 |       0.00 | ok
J6o      |     0.00 |    21.08 |      -3.67 |       0.00 | ok
J7o      |     0.00 |    22.51 |      -2.97 |       0.00 | ok
J8o      |     0.02 |    23.79 |      -2.34 |       0.00 | ok
J9o      |     0.01 |    24.62 |      -1.94 |       0.00 | ok
JTo      |     0.00 |    26.51 |      -1.01 |       0.00 | ok
Q2o      |     0.01 |    19.82 |      -4.29 |       0.00 | ok
